구분(지역),관리센터명,센터유형,연락처,주소,주소(세)
충남,굿모닝요양원,노인복지시설,041-631-8988,충남 홍성군 홍성읍 충서로 1341, 굿모닝요양원
부산,화인시니어데이케어센터,노인복지시설,051-808-0153,부산 해운대구 양운로 82 (좌동),8층
경북,하은실버홈,노인복지시설,054-532-7733,경북 상주시 낙동면 영남제일로 125-17,.
경북,의성군장애인생활이동지원센터,장애인복지시설,054-834-5554,경북 의성군 의성읍 잔보들길 130,.
경북,순흥지역아동센터,아동복지시설,054-637-1361,경북 영주시 순흥면 순흥로 40,.
경북,샘터지역아동센터,아동복지시설,054-451-5190,경북 구미시 도봉로5안길 11-16 (도량동),.
충남,공주효재가노인복지센터,노인복지시설,041-852-5629,충남 공주시 이인면 검바위로 1, 공주효재가노인복지센터
충남,인주농협요양원,노인복지시설,041-543-3711,충남 아산시 인주면 영인산로 260-14, 인주농협요양원
대구,밀알복지재단 대구경북지부,기타,053-242-5390,대구 남구 명덕로 104 (대명동),"504호(대명동, 104 전문관)"
충남,아가페노인요양공동생활가정,노인복지시설,041-578-2412,충남 천안시 동남구 청당산업길 76 (구룡동), 2층
부산,위즈맘그룹홈,아동복지시설,051-331-2505,"부산 북구 덕천로234번길 34 (만덕동, 럭키만덕아파트)","207동 302호(만덕동, 럭키아파트)"
부산,새롬아동센터,아동복지시설,051-552-5502,부산 동래구 금정마을로 93 (온천동),새롬아동센터
광주,사단법인 광주다문화지원연대,기타,062-351-7977,광주 남구 금화로470번길 1 (월산동),2층
부산,사상구재가노인지원서비스센터,노인복지시설,070-4335-8460,부산 사상구 백양대로 527 (주례동),사상구재가노인지원서비스센터
부산,사회복지법인 문수복지재단,사회복지분야 법인/단체,051-624-1244,부산 남구 홍곡로336번길 41 (용당동),문수복지재단
경남,(사)느티나무경상남도장애인부모회 김해시지부,장애인복지시설,070-7776-0094,경남 김해시 구지로 26 (내동),성보빌딩 401호
경남,윈윈지역아동센터,아동복지시설,055-945-0106,경남 거창군 거창읍 동동2길 11-3,2층 윈윈지역아동센터
경남,나름지역아동센터,아동복지시설,055-942-3837,경남 거창군 거창읍 하동1길 26, 2층 3층
경남,고성군노인복지관,노인복지시설,055-674-2993,경남 고성군 고성읍 남포로79번길 133,고성군노인복지관
경남,좋은인연지역아동센터,아동복지시설,055-941-1080,경남 거창군 거창읍 하동4길 77,좋은인연지역아동센터
경남,엘림의집,노인복지시설,055-941-0557,경남 거창군 마리면 빼재로 419,엘림의집
경남,동례리지역아동센터,아동복지시설,055-943-6210,경남 거창군 가조면 동례2길 26,동례리지역아동센터
경북,흥덕종합사회복지관,사회복지관,054-554-3320,경북 문경시 호서로 154 (흥덕동),.
경북,구룡포 꾸러기 마을돌봄터,아동복지시설,054-278-5551,경북 포항시 남구 구룡포읍 호미로 193,2층
광주,동행재활요양병원,보건의료,062-720-2003,광주 북구 무등로 226 (신안동),동행재활요양병원
광주,평화의집,장애인복지시설,062-571-9004,광주 북구 양산제로137번길 48-8 (연제동),평화의집
전북,꿈끼지역아동센터,아동복지시설,063-560-8537,전북 고창군 흥덕면 서삼길 11-17,.
광주,하남지역아동센터,아동복지시설,062-954-0104,"광주 광산구 월곡산정로 12 (우산동, 하남주공아파트 1차/2차 아파트)",3층
서울,강남장애인자립생활센터,장애인복지시설,02-459-3766,서울 강남구 개포로 508 (개포동),4층 401호
서울,우리엄마요양원2호점,노인복지시설,02-921-3002,서울 성북구 보문로 123 (보문동2가),4층
서울,충현의 집 3호,장애인복지시설,070-7677-7514,"서울 서초구 동산로12길 20 (양재동, 동은빌라)",301호
서울,양천어르신종합복지관 병설양천어르신요양센터,노인복지시설,02-2649-8836,서울 양천구 목동로3길 106 (신정동),-
서울,우리엄마요양원,노인복지시설,02-921-3002,서울 성북구 보문로 123 (보문동2가),3층
부산,월드비전어린이집,기타,051-864-8363,부산 연제구 연수로 135 (연산동),월드비전어린이집
경남,거창군시각장애인주간보호센터,장애인복지시설,055-945-3155,경남 거창군 거창읍 송정1길 24-15,.
